id,meaning,perslemma
01,Geheimnis,
01,Galgen,
01,Vertrauter,
01,frei,
01,"Qual, Plage"
01,Gier,
03,Eintritt,worūd
03,"Kraft, Macht",zūr
03,Rauch,dū
03,und,wa
03,"entfernt, weit",dūr
03,"Fluß",rūd
03,"er, sie, es brachte",āward
07,du hast,
07,du gabst,
07,ich brachte,
07,du brachtest,
07,du schriest,
08,Lektion 8 In der Regel steht das Verb am Ende des Satzes. Fragesätze,
08,können wie im Deutschen ohne Umstellung einfach durch Heben der Stimme,
08,gebildet werden. Fragezeichen:,
09,Darm,
09,Sichel Hölle,
09,"ja, jawohl geben",
09,bringen,
09,schlagen,
09,"Die Zugehörigkeit zu ei dadurch ausgedrückt, \< ein e angehängt wird,",
09,Genitiv: Possesiv: Adj ektiv: Adjektiv steht immer,
09,"Dieb, Einbrecher",
09,Säge Rauch Gewicht,
09,zwölf ’ lang,
09,frei,
09,"Lektion 9 em Genitiv, Possesiv oder Adjektiv wird ß an das vorausgehende",
09,zugehörige Hauptwort,
09,Freiheit der Seele,
09,seine Seele freie Seele. Das,
09,"nach dem Hauptwort, zu dem es gehört.",
10,Kiefer,
10,heiß lang,
10,Freiheit,
10,frei,
10,Gesang; .Stimme,
10,Lektion 10,
10,Sitten Heirat,
10,gelb ruhig,
10,Erbe Erbschaft,
10,billig Diebstahl,
11,Nachgcstelltes Objekt bestimmt ist.,
11,"er, sie, es schlug",
11,"er, sie, es quälte er, sie, es plagte",
11,"Lektion 11 bezeichnet den Akkusativ, wenn das",
11,ihn,
11,"von, aus ich habe herausgebracht unaufrichtig, heuchlerisch",
12,Le Der Akkusativ bekommt kein,
12,stimmt ist.,
12,"lehren, unterrichten",
12,schlagen,
12,"drücken, schieben aufhängen",
12,ktion 12 wenn das Objekt unbe,
12,quälen,
12,bringen,
12,schreien herausbringen an die Tür klopfen,
14,Zu Lektion 13—16 Die meisten Buchstaben haben neben der vollständigen,
14,auch eine verkürzte Form deren Entstehen auf den folgenden Seiten,
14,gezeigt wird.,
14,Verkürzte und unverkürzte Buchstaben können zu einem „Ge­ bilde“,
14,"zusammengeschrieben werden, wofür die Lektionen 13—",
14,16 eine Reihe von Möglichkeiten zeigen. Für das Schreiben in „Ge­,
14,bilden“ gelten folgende Regeln: 1. Vollständige Buchstaben können nicht,
14,"miteinander verbun­ den werden, mit Ausnahme von",
14,2\. Am Anfang und in der Mitte eines „Gebildes“ können alle,
14,verkürzten Buchstaben und dazu noch,
14,stehen. Am Ende eines „Gebildes“ kann jeder Buchstabe in vollständiger,
14,Form stehen.,
14,können,
14,3\. Die Buchstaben,
14,nicht gekürzt und nicht nach links gebunden werden. Ein „Gebilde“ muß,
14,also mit ihnen seinen Abschluß finden.,
14,Lektion 13,
14,"Vater Vermögen, Reichtum",
14,"morgen Beschäftigung,",
14,Arbeit,
14,Fieber Ohr,
14,mit,
14,Feder,
14,wenig Blume,
14,Falke,
15,Lekti,
15,on 14,
16,ein; eins,
16,"Abend, Nacht dunkel",
16,"er, sie, es ist",
16,"er, sie, es erlitt Schaden",
16,Hals; Nacken Teekanne,
16,Kopf,
16,Zweifel,
16,Reihe; Linie,
16,Gegensatz Schwan,
16,Lippe,
16,neun,
16,ektion 15,
17,Lampe,
17,hell,
17,Gebet,
17,"Wirkung Stolz, Hochmut schlecht, böse",
17,"Befinden, Zustand gut",
17,"Ort, Platz",
17,was,
17,Pille,
17,"Esel Gram, Kummer",
17,ich Zauberer,
17,"er, sie, es zauberte",
17,ektion 16,
17,mit,
17,"wir er, sie, es war Gott",
17,"Schöpfer Hahn Nahrung, Speise",
17,"auch dieser, diese, dieses",
17,Bügeleisen,
17,Wetter kalt,
17,Gefäß; Topf klein,
18,Lektion 17 wird das,
18,In der Buchstabengruppe,
18,nicht mit,
18,ausgesprochen. Die Aussprache ist also wie,
18,Die Hamse,
18,(vgl. auch Gr. 13 ) dient hier zur Tren,
18,nung zweier nebeneinanderstehender Vokale (Hiatus):,
18,Onkel (mütterlicherseits).,
18,Haue,
18,sie waren,
18,"Besitztum, Gut Ehemann, Gatte, Gemahl",
18,Ehefrau; Frau Tante (mütterlicherseits),
18,dreißig,
18,Jahr Onkel (mütterlicherseits),
18,jung Freund,
18,"Reichtum viel, übermäßig",
18,Braut Bräutigam,
18,sie haben geheiratet,
18,die Verwandten Bruder,
18,"er, sie, es kam",
18,"Mutter er, sie, es ging Schwester",
18,elektrische Lampe Elektrizität,
18,"er machte aus aus, erloschen",
18,Vater und Mutter (Eltern)’,
18,aus; von Bazar,
18,sie kamen,
18,Geschwister in,
19,sechs,
19,heute,
19,Zahn- schmerz(-en) Zahn vorgestern,
19,gestern,
19,ektion 18,
19,Zeit,
19,hundert Jahrhundert Monat; Mond,
19,jetzt,
19,Uhr; Stunde,
19,gut,
19,oder nicht; nein,
19,Abend; Nacht dunkel,
19,1\. Infinitiv auf dem Infinitiv.,
19,Kopfschmerzen),
19,er hatte morgen,
19,übermorgen,
19,viel; zuviel Wetter,
19,Gr. 20 und 23,
19,Bildung der Vergangenheit aus,
19,"2\. Bildung des Dativ.durch die Vorsilbe Bruder,",
19,du kauftest,
19,"er, sie, es kaufte aufstehen",
19,werden Speise,
19,essen ihm,
19,Brief,
19,seiner (ihrer) Schwester,
